nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Evrard Jeanne,48.8392628,2.2652968,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
OSM France,48.8212589,2.287617,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Patrick Pierre Ebénisterie,48.8890717,2.2890026,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
EASY CUISINE,48.8774451,2.435592,4.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'Atelier MARINKA,48.87063,2.346829,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
V2,48.8571044,2.2918654,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Billard Stephan Matthew,48.8234325,2.342773499999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
CAD Couture,48.8809347,2.3250902,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Elles Décorent,48.8361198,2.2916682,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Antiquités la Marotte,48.8775562,2.2929025,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Futur Meuble 2015,48.9071933,2.3955911,3.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier Bis,48.8321419,2.3302858,-1.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Zinck Alain,48.8911611,2.3202051,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Soc Sauvel,48.9070686,2.3578582,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Citeaux Mural,48.85057459999999,2.3839313,4.3,-1,1,0,0,0,1,0,0,0,0,0,0,0
Boat Safran.creation Sophie Lescot,48.8575679,2.3972748,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Durififi,48.8851473,2.2630829,5.0,-1,1,0,0,0,1,1,0,0,0,0,0,0
C.c.b,48.9050597,2.3131036,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Fil et Matière,48.870485,2.337686,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Ligne et Couleur,48.8810941,2.3654594,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Société D et P,48.85522220000001,2.3285074,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Thyrse Paris - tapissier décorateur,48.8410227,2.344629,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
La Companie Limitee'des Confort Meubles,48.8712737,2.3703904,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cuisines Milet,48.85996850000001,2.3609881,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Roche Jean-Paul :atelier de la methode ancienne,48.8811517,2.288734,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
La Paresse en Douce,48.85346219999999,2.3238394,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Lajnef Najah,48.8186529,2.2867943,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Société Gérard Conte,48.84073899999999,2.4006369,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bellynck and Son,48.8881899,2.3914667,4.7,-1,1,0,0,0,1,0,0,0,0,0,0,0
Matériel Pro CHR,48.8873038,2.3074398,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Galatry Stephane,48.84197089999999,2.3956998,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Roche Bobois,48.85512900000001,2.327452,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mobex France Sarl,48.8921247,2.3239835,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Vergain Philippe,48.8506861,2.3497655,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mobeco,48.8763956,2.2837828,2.9,-1,1,0,0,0,1,0,0,1,0,0,0,0
SCANDISHOP (antiquités Rafael),48.8762401,2.2949294,4.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Hier et Demain,48.8291768,2.3068599,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mondomio,48.857933,2.322382,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
EUROTRA Sarl,48.86546,2.369406,4.1,-1,1,0,0,0,1,0,0,0,0,0,0,0
Albizzati Albizzati-burgi Mathieu,48.8245728,2.3550765,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
INSIDE75,48.8471147,2.2948933,4.2,-1,1,0,0,0,1,0,0,1,0,0,0,0
Adr Agencementdecoration,48.854903,2.420407099999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Nerestan Guy,48.84942160000001,2.380505400000001,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Création Saint Mandé,48.865804,2.3655792,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
HEMA,48.86263719999999,2.3475242,4.1,-1,1,0,0,0,1,1,0,0,0,0,0,0
Anders,48.87089979999999,2.283908499999999,2.3,-1,1,0,0,0,1,0,0,1,0,0,0,0
Humanscale,48.881463,2.268577,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
happyhand,48.8350516,2.3973036,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Glustin Luminaires,48.90262000000001,2.3416428,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'Ere du Mobilier,48.8412651,2.2635225,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
King Meubles (Sté),48.8680093,2.3815673,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
